date,views,imp,wt,Î¼dur,title,id
2020-05-01,170,1559,1533.744,9.016666666666667,Santa Cruz Formations,1
2020-05-08,45,634,314.54999999999995,6.983333333333333,A Geologist's Toolkit,2
2020-05-16,66,1524,388.026,5.866666666666667,The Building Blocks of Rocks (Minerals),3
2020-05-21,41,706,308.874,7.533333333333333,The Curious Case of the Three Rock Types,4
2020-05-28,38,638,237.882,6.25,Igneous Rocks,5
2020-06-04,24,519,120.29400000000001,5.0,Sedimentary Rocks,6
2020-06-11,37,928,208.704,5.633333333333333,Metamorphic Rocks,7
2020-06-18,65,1598,256.926,3.95,Chemical Sedimentary Rocks,8
2020-06-25,43,770,349.83599999999996,8.133333333333333,Geologic Time (1/2),9
2020-07-02,15,850,151.848,10.116666666666667,Geologic Time (2/2),10
2020-07-09,29,571,104.41799999999999,3.6,Behind the Scenes with a Scientist,11
2020-07-16,13,643,19.218,1.4666666666666668,Science Communication,12
2020-07-23,29,1028,157.5,5.416666666666667,Volcanoes and Mass Extinctions,13
2020-07-30,191,4000,1023.876,5.35,The Melting of the East Antarctic Ice Sheet,15
2020-08-07,86,2679,378.72,4.4,California State Symbols,16
2020-08-13,98,1865,954.408,9.733333333333333,Coastal Geology,17
2020-08-20,45,518,434.154,9.633333333333333,115 Years of Geologic History in Santa Cruz,18
2020-09-03,36,1150,410.586,11.4,Impacts of Fire on Soil and Water,19
2020-10-08,50,1323,372.3,7.433333333333334,Building Appalachia,20
2020-11-05,46,1155,213.822,4.633333333333333,Caves,21
2020-11-05,41,1473,397.476,9.683333333333334,Supercontinents,22
2020-12-04,58,1864,460.524,7.933333333333334,The Ice Ages,23
2021-02-05,35,773,362.77799999999996,10.35,Paleoclimatology,24
2021-02-05,40,813,349.878,8.733333333333333,The Varieties of Volcanoes,25
2021-03-04,34,1175,216.072,6.35,Biogenic Geology,26
2021-04-09,24,645,161.28,6.716666666666667,The Moon!,27
2021-06-11,20,641,118.866,5.933333333333334,Great Geologic Landmarks,28
2021-07-14,16,501,73.842,4.6,The Ocean Floor,29
2021-08-07,22,540,148.206,6.733333333333333,Great Geologic Goodbyes,30
2021-08-31,52,724,525.768,10.1,What Even IS North America?,31
2021-11-17,21,569,128.172,6.1,Dangerous Minerals,32
2021-11-17,16,443,182.13,11.366666666666667,The Motions of the Oceans and the Atmosphere,33
2022-01-07,12,586,179.196,14.916666666666666,Seasonal Changes of Sea Ice,35
2022-02-02,125,7047,931.932,7.45,Terrestrial Planets of our Solar System,36
